Unnamed: 0;ID_hecho;FECHA;AAAA;MM;DD;ROL;VICTIMA;SEXO;EDAD
628;2021-0009;2021-01-23;2021;1;23;CONDUCTOR;MOTO;MASCULINO;31.0
629;2021-0010;2021-01-23;2021;1;23;CONDUCTOR;MOTO;MASCULINO;28.0
630;2021-0011;2021-01-27;2021;1;27;PEATON;PEATON;MASCULINO;21.0
631;2021-0012;2021-01-29;2021;1;29;PEATON;PEATON;MASCULINO;42.0
632;2021-0013;2021-01-31;2021;1;31;CONDUCTOR;MOTO;MASCULINO;41.0
633;2021-0014;2021-02-02;2021;2;2;PEATON;PEATON;MASCULINO;28.0
634;2021-0015;2021-02-06;2021;2;6;CONDUCTOR;MOTO;MASCULINO;26.0
635;2021-0016;2021-02-14;2021;2;14;CONDUCTOR;AUTO;MASCULINO;22.0
636;2021-0017;2021-02-17;2021;2;17;CONDUCTOR;MOTO;MASCULINO;33.0
637;2021-0018;2021-02-20;2021;2;20;PEATON;PEATON;MASCULINO;36.0
638;2021-0019;2021-02-21;2021;2;21;CONDUCTOR;MOTO;MASCULINO;30.0
639;2021-0020;2021-02-21;2021;2;21;PEATON;PEATON;FEMENINO;42.0
640;2021-0021;2021-02-26;2021;2;26;CONDUCTOR;MOTO;MASCULINO;39.0
641;2021-0022;2021-02-28;2021;2;28;PASAJERO_ACOMPAÑANTE;PASAJEROS;MASCULINO;68.0
642;2021-0023;2021-03-01;2021;3;1;CONDUCTOR;MOTO;MASCULINO;24.0
643;2021-0024;2021-03-03;2021;3;3;CICLISTA;BICICLETA;MASCULINO;5.0
644;2021-0025;2021-03-11;2021;3;11;CONDUCTOR;MOTO;MASCULINO;37.0
645;2021-0026;2021-03-15;2021;3;15;CONDUCTOR;MOTO;MASCULINO;36.0
646;2021-0027;2021-03-16;2021;3;16;CONDUCTOR;MOTO;FEMENINO;19.0
647;2021-0028;2021-03-29;2021;3;29;PEATON;PEATON;MASCULINO;42.0
648;2021-0029;2021-03-31;2021;3;31;CONDUCTOR;AUTO;MASCULINO;26.0
649;2021-0030;2021-04-03;2021;4;3;PEATON;PEATON;MASCULINO;36.0
650;2021-0031;2021-04-07;2021;4;7;PEATON;PEATON;FEMENINO;68.0
651;2021-0032;2021-04-10;2021;4;10;PEATON;PEATON;MASCULINO;60.0
652;2021-0033;2021-04-14;2021;4;14;CONDUCTOR;AUTO;MASCULINO;33.0
653;2021-0034;2021-04-19;2021;4;19;PASAJERO_ACOMPAÑANTE;MOTO;FEMENINO;26.0
654;2021-0035;2021-05-03;2021;5;3;CONDUCTOR;MOTO;MASCULINO;24.0
655;2021-0036;2021-05-09;2021;5;9;CONDUCTOR;MOTO;MASCULINO;36.0
656;2021-0037;2021-05-11;2021;5;11;PEATON;PEATON;FEMENINO;58.0
657;2021-0038;2021-05-14;2021;5;14;CONDUCTOR;MOTO;FEMENINO;44.0
658;2021-0039;2021-05-15;2021;5;15;CICLISTA;BICICLETA;MASCULINO;86.0
659;2021-0040;2021-05-20;2021;5;20;CONDUCTOR;MOTO;MASCULINO;27.0
660;2021-0041;2021-05-20;2021;5;20;PEATON;PEATON;MASCULINO;75.0
661;2021-0042;2021-05-21;2021;5;21;PEATON;PEATON;MASCULINO;39.0
662;2021-0043;2021-05-22;2021;5;22;PEATON;PEATON;MASCULINO;50.0
663;2021-0044;2021-05-25;2021;5;25;PASAJERO_ACOMPAÑANTE;MOTO;MASCULINO;21.0
664;2021-0045;2021-05-26;2021;5;26;CONDUCTOR;MOTO;MASCULINO;22.0
665;2021-0046;2021-05-31;2021;5;31;PASAJERO_ACOMPAÑANTE;AUTO;MASCULINO;20.0
666;2021-0047;2021-06-02;2021;6;2;CONDUCTOR;MOTO;MASCULINO;59.0
667;2021-0048;2021-06-03;2021;6;3;CICLISTA;BICICLETA;MASCULINO;44.0
668;2021-0049;2021-06-03;2021;6;3;CONDUCTOR;AUTO;MASCULINO;74.0
669;2021-0050;2021-06-10;2021;6;10;CONDUCTOR;MOTO;MASCULINO;56.0
670;2021-0051;2021-06-15;2021;6;15;PEATON;PEATON;MASCULINO;73.0
671;2021-0052;2021-06-20;2021;6;20;PASAJERO_ACOMPAÑANTE;MOTO;FEMENINO;19.0
672;2021-0053;2021-06-20;2021;6;20;PEATON;PEATON;MASCULINO;58.0
673;2021-0054;2021-06-22;2021;6;22;CONDUCTOR;MOTO;MASCULINO;41.0
674;2021-0055;2021-06-29;2021;6;29;PASAJERO_ACOMPAÑANTE;MOTO;MASCULINO;47.0
675;2021-0056;2021-07-09;2021;7;9;CICLISTA;BICICLETA;MASCULINO;60.0
676;2021-0057;2021-07-10;2021;7;10;CONDUCTOR;AUTO;MASCULINO;46.0
677;2021-0058;2021-07-21;2021;7;21;PEATON;PEATON;MASCULINO;24.0
